	10	9	8	7	6	5
full	1.0	1.0	1.0	1.0	1.0	1.0
500000	0.7653485442691745	0.8860768339312927	0.9810188866919919	0.9973180214755468	0.999533813132376	0.999882611639022
50000	0.643729591106948	0.7253105370416002	0.8510239565873583	0.9658030879105647	0.9951180103410787	0.9989408029324979
miseq	0.4887681095433395	0.6027394421082815	0.7545251760189233	0.9257195550838524	0.988897932992198	0.9976287162701459
10000	0.5329797161344281	0.6246594238954609	0.7214291460644899	0.8535260770546415	0.972028890563019	0.9952323872107587
